0	-90	-0.67534	1.95218	-0.24097	2.29177
0	-89	1.36931	0.29657	-2.40542	2.9326
0	-88	0.75493	-1.75991	-2.46418	3.1658
0	-87	-2.36727	-3.14713	-1.04662	4.65452
0	-86	-1.40172	1.15021	-0.33937	2.32395
0	-85	0.77966	0.18991	-0.33537	0.89908
0	-84	1.2482	-0.93295	-0.48047	1.7401
0	-83	0.06111	-1.16683	-0.13044	1.18413
0	-82	-0.71161	-1.46754	-0.56834	1.9161
0	-81	-0.92488	0.93341	-0.65709	1.99814
0	-80	1.02974	-0.53958	0.53574	1.53102
0	-79	-1.43485	-0.68552	0.63987	2.03234
0	-78	0.52896	1.9372	-1.0643	3.14674
0	-77	0.87512	-1.69927	-0.60328	2.51763
0	-76	-0.85305	-0.08303	0.21818	0.96762
0	-75	-0.17319	0.16428	0.00282	0.2461
0	-74	-0.03567	0.08606	0.0885	0.1296
0	-73	-0.03288	0.06185	0.05461	0.09111
0	-72	-0.00738	0.08869	0.06206	0.1103
0	-71	0.02933	0.25302	0.09957	0.29232
0	-70	1.19968	0.25209	-0.50833	1.56204
0	-69	-0.37403	-0.65589	-0.12842	1.07796
0	-68	-0.5418	0.62126	0.53307	1.11857
0	-67	-0.3412	-0.07206	1.0958	1.17632
0	-66	-0.05293	-0.14377	0.34338	0.3831
0	-65	-0.03554	-0.07548	0.30516	0.33295
0	-64	-0.05368	0.64688	0.21636	0.74052
0	-63	2.04183	1.92163	-1.70354	3.57004
0	-62	2.70827	-1.36477	-0.26931	3.35012
0	-61	0.08922	-0.8457	0.38754	1.00333
0	-60	0.03117	-0.19497	0.24944	0.32714
0	-59	-0.05615	-0.25566	0.09174	0.28777
0	-58	-1.03087	-0.28707	-0.09736	1.22788
0	-57	-0.21096	0.8331	0.38624	1.11864
0	-56	0.29287	0.65119	0.58448	0.94775
0	-55	1.31798	0.35776	0.54773	1.60739
0	-54	1.27561	0.42748	0.22448	1.45005
0	-53	0.27754	-0.14398	-0.11842	1.0396
0	-52	1.43182	1.06075	1.61447	2.89468
0	-51	0.72454	-1.02411	0.54308	1.46576
0	-50	-1.41149	0.27065	0.23592	1.77071
0	-49	0.45216	3.53163	1.5723	4.24231
0	-48	4.92194	0.29718	3.35149	6.52401
0	-47	2.67592	0.72156	1.26238	3.52004
0	-46	3.20343	-0.63859	1.50621	3.84391
0	-45	-0.03626	-0.50038	-1.0315	1.58144
0	-44	-0.69153	-1.71695	-1.7852	2.75238
0	-43	-2.22845	-0.14544	-2.12853	3.31802
0	-42	-0.95448	0.21831	-3.0663	3.32513
0	-41	-1.69939	-2.06331	-4.09942	5.18371
0	-40	-9.54934	-3.69138	-4.6874	12.03003
0	-39	-8.89019	4.03608	-4.73918	11.40165
0	-38	-0.27276	4.48078	-1.34455	5.18583
0	-37	-1.72542	2.8077	-0.50477	3.6066
0	-36	8.45052	7.90301	0.707	13.34852
0	-35	10.39442	-6.35231	3.09222	13.85197
0	-34	0.67228	-3.45901	1.07675	3.86752
0	-33	0.24544	-0.92494	2.56407	2.96238
0	-32	3.05578	-0.93612	1.51061	4.32539
0	-31	0.41011	-2.34232	0.89026	2.59464
0	-30	0.08694	-1.08626	0.49944	1.45837
0	-29	0.17662	-1.57651	0.66723	2.03089
0	-28	-1.82072	-1.48647	-0.16385	2.52763
0	-27	-2.45232	-0.52506	-0.03446	2.77979
0	-26	-2.86505	-0.68409	-0.772	3.46524
0	-25	-0.75281	2.22262	-1.08171	3.64419
0	-24	0.10809	-1.10271	-1.17522	3.0338
0	-23	1.3282	3.9734	-0.45389	5.5101
0	-22	4.91483	-2.29991	1.17824	6.55304
0	-21	-0.41605	-1.03821	-1.15993	2.79345
0	-20	4.62519	0.3463	3.66852	8.73561
0	-19	-3.76218	-1.4085	-0.94691	8.04443
0	-18	3.69236	2.44557	1.45962	5.84815
0	-17	2.64514	0.31718	2.64919	4.00684
0	-16	1.66868	-1.47996	1.9192	3.49412
0	-15	1.05062	-1.13715	2.25508	2.92836
0	-14	0.14538	0.21808	0.91688	1.88244
0	-13	0.35629	-2.22434	-0.55153	4.10858
0	-12	-1.57401	0.95536	-0.28874	2.18344
0	-11	0.5352	1.30784	-1.55353	2.84948
0	-10	3.76192	-0.16087	-5.14155	9.35472
0	-9	-0.57098	-0.02049	-2.61053	3.2232
0	-8	-1.18701	0.27818	-0.52468	1.98126
0	-7	-0.8175	-1.23085	-0.87867	2.05516
0	-6	-1.77383	-0.09469	-0.8446	2.19018
0	-5	-0.92448	-1.65005	-0.18945	2.2708
0	-4	-5.09092	-0.99566	-1.7602	6.48359
0	-3	-3.7403	2.99355	-4.46364	8.01612
0	-2	0.66413	4.44521	-1.74467	5.59554
0	-1	8.16823	-1.16987	2.29969	10.25415
0	0	1.4523	-5.3938	-0.3918	5.9449
0	1	0.04711	-0.00944	0.56132	3.19012
0	2	6.03333	2.20667	1.09493	8.14956
0	3	-0.07757	-5.7059	-2.02991	8.09877
0	4	-4.87071	1.66337	-2.4282	6.95217
0	5	2.55711	-0.00968	1.04822	4.94631
0	6	-0.02634	0.15732	-0.1625	2.31151
0	7	0.70677	-1.81914	2.48713	4.25706
0	8	-0.31968	-0.35636	0.22615	2.69232
0	9	0.62435	0.91351	2.38267	4.40314
0	10	-1.29566	-0.546	-1.7964	3.41568
0	11	-2.23971	-0.78624	-0.79744	3.23158
0	12	0.17189	2.26001	0.13626	3.19607
0	13	0.28101	0.11823	0.26406	0.59464
0	14	-0.08189	0.17195	0.05234	0.2389
0	15	0.08124	0.62903	-0.13393	0.86628
0	16	0.92618	0.97933	0.69759	2.00796
0	17	3.65518	-1.93964	2.99876	6.27532
0	18	-5.37003	-4.05526	0.03968	7.97432
0	19	-1.86671	3.46928	0.65333	4.68828
0	20	0.02211	-0.22614	0.02603	0.9706
0	21	-0.3576	0.60236	-0.32336	1.04724
0	22	0.32357	0.215	-0.43461	0.78573
0	23	0.34675	-0.10684	-0.1539	0.57549
0	24	-0.15575	-0.46616	0.11923	0.53941
0	25	-0.06285	-0.32695	0.43277	0.57533
0	26	-0.19502	-1.19711	-0.09902	1.36221
0	27	-3.16955	-0.80075	-1.22375	3.95613
0	28	-2.57551	1.30544	-0.51854	3.32128
0	29	0.33422	0.7254	0.00246	0.93162
0	30	0.18395	0.18526	-0.06452	0.34176
0	31	0.25541	-0.0414	-0.10447	0.33808
0	32	0.01072	-0.18045	-0.23162	0.32898
0	33	-0.21644	-0.25839	-0.2111	0.54487
0	34	-0.25235	0.27329	-0.00317	0.40568
0	35	-0.108	0.35556	0.02884	0.38599
0	36	-0.05585	0.18995	0.11464	0.23933
0	37	-0.04914	0.20752	0.17887	0.30571
0	38	0.06101	0.44251	0.06794	0.5805
0	39	0.51265	-0.14539	0.22552	0.76244
0	40	-0.03152	-0.19022	0.0362	0.21072
0	41	-0.03365	-0.05251	-0.0731	0.10095
0	42	0.00689	0.06677	-0.14726	0.18072
0	43	-0.08621	0.64573	-0.11144	0.6992
0	44	4.33932	0.83996	0.43192	5.28834
